DATE                TIME                CIRCUIT             COUNTY              CASENUMBER
07/07/2023          11:47:29 AM         Tenth               Highlands           28-2002-DR-000098-DRAX-MX
07/14/2023          02:12:01 PM         Tenth               Polk                53-2021-DR-002022-0000-LK
08/04/2023          10:15:28 AM         Tenth               Polk                53-2022-DR-000098-0000-LK
08/09/2023          02:27:38 PM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
08/15/2023          04:31:52 PM         Tenth               Hardee              25-2022-DR-002022-FCAX-MX
09/11/2023          11:18:52 AM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/12/2023          10:37:59 AM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/12/2023          10:43:18 AM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/12/2023          10:46:26 AM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/12/2023          10:49:20 AM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/12/2023          10:53:58 AM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/12/2023          11:01:37 AM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/12/2023          11:02:55 AM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/12/2023          11:04:41 AM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/12/2023          11:05:39 AM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/12/2023          11:07:25 AM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/12/2023          11:08:33 AM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/12/2023          11:10:04 AM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/12/2023          11:11:42 AM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/12/2023          11:16:22 AM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/12/2023          11:21:10 AM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/12/2023          11:22:32 AM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/12/2023          11:24:27 AM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/12/2023          11:27:33 AM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/12/2023          11:29:46 AM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/12/2023          12:50:22 PM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/12/2023          12:58:56 PM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/13/2023          03:26:41 PM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/13/2023          03:30:23 PM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/13/2023          03:31:18 PM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/13/2023          03:31:41 PM         Tenth               Hardee              25-2022-DR-008877-FCAX-MX
09/14/2023          03:57:06 PM         Tenth               Highlands           28-2222-DR-000022-DRAX-MX
